HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Athletico-PR;São Paulo;29.10.2023 16:00;1;1;1.29;0.50;44%;56%;12;5;4;2;8;2;0;1;12;15;4;3;3;0;15;13;1;3;12;12;-;-;1;5;357;474;300;400;105;86;42;11
Goiás;Vasco;29.10.2023 16:00;1;1;0.99;0.98;46%;54%;17;4;5;2;5;2;7;0;11;17;7;2;0;1;35;18;1;4;17;12;0;1;2;5;354;426;270;364;85;86;59;44
Atlético-MG;Fluminense;28.10.2023 21:00;2;0;1.38;1.04;49%;51%;18;12;3;3;9;7;6;2;11;15;9;4;2;2;16;11;3;1;15;11;-;-;2;1;431;418;340;355;109;79;52;28
América-MG;Grêmio;28.10.2023 19:00;3;4;2.69;2.32;45%;55%;16;16;6;11;10;4;0;1;5;12;5;7;1;1;13;14;7;3;10;5;-;-;0;2;396;529;321;437;88;117;43;49
Palmeiras;Bahia;28.10.2023 19:00;1;0;1.84;0.23;60%;40%;22;5;9;1;10;4;3;0;17;21;6;1;5;0;27;22;1;8;15;17;0;1;1;4;553;305;485;231;149;79;63;42
Santos;Coritiba;26.10.2023 21:30;2;1;2.12;0.85;57%;43%;21;3;7;2;12;1;2;0;20;15;11;2;0;1;28;12;1;5;15;22;0;1;2;5;493;287;413;210;117;75;77;27
Vasco;Internacional;26.10.2023 19:00;1;2;1.01;1.48;51%;49%;14;8;6;5;7;1;1;2;13;17;7;1;1;3;13;10;3;5;17;14;2;0;5;4;490;437;426;385;118;100;62;26
Cuiabá;Corinthians;25.10.2023 21:30;0;1;0.66;1.82;52%;48%;17;9;3;5;10;4;4;0;14;13;6;5;2;0;17;13;4;3;11;13;-;-;1;3;476;502;390;432;128;91;68;34
Grêmio;Flamengo;25.10.2023 21:30;3;2;1.06;1.21;38%;62%;11;6;4;4;5;2;2;0;12;14;6;1;0;0;15;12;2;2;14;16;-;-;3;4;377;639;302;569;102;98;58;46
Cruzeiro;Bahia;25.10.2023 20:00;3;0;1.85;0.28;41%;59%;13;6;6;0;6;3;1;3;11;14;1;2;1;0;20;20;0;3;12;10;-;-;2;2;372;557;308;490;85;117;43;45
Palmeiras;São Paulo;25.10.2023 20:00;5;0;2.18;0.10;46%;54%;12;3;8;0;2;3;2;0;17;17;5;0;3;2;6;18;0;3;15;15;0;1;3;4;382;443;324;391;91;66;33;13
Athletico-PR;América-MG;25.10.2023 19:00;3;2;2.85;0.86;56%;44%;19;12;7;6;10;2;2;4;12;20;14;5;3;0;18;13;4;4;14;13;-;-;0;1;141;58;121;35;135;85;69;29
Fluminense;Goiás;25.10.2023 19:00;5;3;2.74;0.71;61%;39%;19;9;8;4;9;3;2;2;20;18;6;1;3;0;18;19;1;3;14;21;-;-;4;2;156;50;144;40;104;81;54;32
Red Bull Bragantino;Atlético-MG;25.10.2023 19:00;1;2;1.79;1.86;59%;41%;10;8;4;4;4;3;2;1;17;12;17;5;1;4;25;22;2;3;11;13;-;-;2;4;372;557;308;490;112;78;90;32
Corinthians;América-MG;22.10.2023 18:30;1;1;0.30;0.27;66%;34%;17;13;5;4;8;7;4;2;11;16;4;4;1;0;34;15;3;4;15;13;-;-;2;3;702;288;604;210;142;98;56;46
Coritiba;Palmeiras;22.10.2023 18:30;0;2;0.41;0.56;44%;56%;12;19;3;6;5;9;4;4;20;15;3;6;2;2;22;19;4;3;13;18;-;-;1;1;417;487;334;390;109;101;43;43
Red Bull Bragantino;Fluminense;22.10.2023 18:30;1;0;2.50;0.68;46%;54%;20;12;2;4;14;4;4;4;15;17;7;3;0;3;20;23;4;1;17;12;-;-;3;2;383;526;318;458;104;74;53;37
Atlético-MG;Cruzeiro;22.10.2023 16:00;0;1;0.69;0.94;54%;46%;9;11;1;4;7;5;1;2;13;19;1;7;0;3;17;26;3;1;24;15;-;-;3;3;427;361;363;274;95;97;31;46
Flamengo;Vasco;22.10.2023 16:00;1;0;0.47;0.88;49%;51%;10;12;4;7;4;4;2;1;16;10;7;8;1;1;11;22;7;3;10;15;-;-;1;2;400;476;336;386;98;112;40;46
Internacional;Santos;22.10.2023 16:00;7;1;1.53;0.57;50%;50%;13;8;7;3;3;5;3;0;10;19;3;6;2;0;18;15;2;0;18;9;-;-;1;1;416;423;366;351;87;96;23;30
Botafogo;Athletico-PR;22.10.2023 15:00;1;1;0.87;1.02;58%;42%;9;11;5;2;4;7;0;2;14;9;6;3;1;4;19;15;1;4;11;12;-;-;2;1;572;371;497;304;122;81;68;31
Bahia;Fortaleza;21.10.2023 18:30;2;0;1.22;0.47;48%;52%;15;10;3;5;9;4;3;1;17;20;7;2;0;5;15;17;5;1;23;13;-;-;6;4;368;373;298;310;95;96;35;36
Cuiabá;Goiás;21.10.2023 18:30;1;1;1.33;1.79;58%;42%;18;9;6;3;9;4;3;2;22;14;13;2;4;5;16;17;2;5;12;17;-;-;1;3;486;336;413;276;124;77;69;20
São Paulo;Grêmio;21.10.2023 18:30;3;0;2.98;0.10;59%;41%;20;3;7;2;9;0;4;1;21;22;6;3;1;2;17;11;2;4;23;17;-;-;1;3;478;323;406;236;113;79;56;28
